Game_Date,Game_Date_ISO,Team,Is_Home_Team,Opponent,Team_Score,Opponent_Score,Pace,eFG_PCT,TOV_PCT,ORB_PCT,FT_Rate,ORtg,Won,Home_Won,Opponent_eFG_PCT,Opponent_TOV_PCT,Opponent_ORB_PCT,Opponent_FT_Rate,Opponent_ORtg,Box_Score_URL
2025-03-21,2025-03-21,Portland Trail Blazers,True,Denver Nuggets,128,109,95.4,.621,14.8,42.9,.230,134.2,1,1,.559,19.2,32.4,.316,114.3,https://www.basketball-reference.com/boxscores/202503210POR.html
2025-03-21,2025-03-21,Memphis Grizzlies,False,Los Angeles Clippers,108,128,99.9,.521,9.0,19.6,.095,108.1,0,0,.686,14.4,6.3,.269,128.1,https://www.basketball-reference.com/boxscores/202503210LAC.html
2025-03-21,2025-03-21,Los Angeles Clippers,True,Memphis Grizzlies,128,108,99.9,.686,14.4,6.3,.269,128.1,1,1,.521,9.0,19.6,.095,108.1,https://www.basketball-reference.com/boxscores/202503210LAC.html
2025-03-20,2025-03-20,Brooklyn Nets,False,Indiana Pacers,99,105,97.4,0.426,12.8,23.0,0.129,92.0,0,0,0.481,20.9,23.3,0.333,97.6,https://www.basketball-reference.com/boxscores/202503200IND.html
2025-03-20,2025-03-20,Indiana Pacers,True,Brooklyn Nets,105,99,97.4,0.481,20.9,23.3,0.333,97.6,1,1,0.426,12.8,23.0,0.129,92.0,https://www.basketball-reference.com/boxscores/202503200IND.html
2025-03-22,2025-03-22,Golden State Warriors,False,Atlanta Hawks,115,124,98.6,.560,9.5,14.3,.250,116.6,0,0,.657,14.6,23.8,.128,125.7,https://www.basketball-reference.com/boxscores/202503220ATL.html
2025-03-22,2025-03-22,Atlanta Hawks,True,Golden State Warriors,124,115,98.6,.657,14.6,23.8,.128,125.7,1,1,.560,9.5,14.3,.250,116.6,https://www.basketball-reference.com/boxscores/202503220ATL.html
2025-03-22,2025-03-22,Washington Wizards,False,New York Knicks,103,122,103.1,.506,17.2,22.2,.159,99.9,0,0,.555,13.5,31.1,.231,118.4,https://www.basketball-reference.com/boxscores/202503220NYK.html
2025-03-22,2025-03-22,New York Knicks,True,Washington Wizards,122,103,103.1,.555,13.5,31.1,.231,118.4,1,1,.506,17.2,22.2,.159,99.9,https://www.basketball-reference.com/boxscores/202503220NYK.html
2025-03-22,2025-03-22,Milwaukee Bucks,False,Sacramento Kings,114,108,90.8,.601,9.7,26.8,.155,125.5,1,0,.500,7.4,31.1,.187,118.9,https://www.basketball-reference.com/boxscores/202503220SAC.html
2025-03-22,2025-03-22,Sacramento Kings,True,Milwaukee Bucks,108,114,90.8,.500,7.4,31.1,.187,118.9,0,1,.601,9.7,26.8,.155,125.5,https://www.basketball-reference.com/boxscores/202503220SAC.html
2025-03-22,2025-03-22,Chicago Bulls,False,Los Angeles Lakers,146,115,103.3,.682,8.7,27.8,.156,141.4,1,0,.582,18.2,22.0,.188,111.3,https://www.basketball-reference.com/boxscores/202503220LAL.html
2025-03-22,2025-03-22,Los Angeles Lakers,True,Chicago Bulls,115,146,103.3,.582,18.2,22.0,.188,111.3,0,1,.682,8.7,27.8,.156,141.4,https://www.basketball-reference.com/boxscores/202503220LAL.html
2025-03-23,2025-03-23,New Orleans Pelicans,False,Detroit Pistons,130,136,97.4,.694,16.4,32.3,.141,133.4,0,0,.622,7.2,28.9,.337,139.6,https://www.basketball-reference.com/boxscores/202503230DET.html
2025-03-23,2025-03-23,Detroit Pistons,True,New Orleans Pelicans,136,130,97.4,.622,7.2,28.9,.337,139.6,1,1,.694,16.4,32.3,.141,133.4,https://www.basketball-reference.com/boxscores/202503230DET.html
2025-03-23,2025-03-23,Cleveland Cavaliers,False,Utah Jazz,120,91,101.0,.516,6.0,26.4,.219,118.8,1,0,.449,17.8,26.0,.124,90.1,https://www.basketball-reference.com/boxscores/202503230UTA.html
2025-03-23,2025-03-23,Utah Jazz,True,Cleveland Cavaliers,91,120,101.0,.449,17.8,26.0,.124,90.1,0,1,.516,6.0,26.4,.219,118.8,https://www.basketball-reference.com/boxscores/202503230UTA.html
2025-03-23,2025-03-23,Philadelphia 76ers,False,Atlanta Hawks,119,132,101.2,.500,10.8,31.0,.308,117.6,0,0,.649,15.0,29.4,.218,130.4,https://www.basketball-reference.com/boxscores/202503230ATL.html
2025-03-23,2025-03-23,Atlanta Hawks,True,Philadelphia 76ers,132,119,101.2,.649,15.0,29.4,.218,130.4,1,1,.500,10.8,31.0,.308,117.6,https://www.basketball-reference.com/boxscores/202503230ATL.html
2025-03-23,2025-03-23,Charlotte Hornets,False,Miami Heat,105,122,95.4,.534,17.7,32.4,.138,110.1,0,0,.646,11.7,20.0,.195,127.9,https://www.basketball-reference.com/boxscores/202503230MIA.html
2025-03-23,2025-03-23,Miami Heat,True,Charlotte Hornets,122,105,95.4,.646,11.7,20.0,.195,127.9,1,1,.534,17.7,32.4,.138,110.1,https://www.basketball-reference.com/boxscores/202503230MIA.html
2025-03-23,2025-03-23,Boston Celtics,False,Portland Trail Blazers,129,116,91.3,.676,8.7,28.9,.114,141.2,1,0,.597,11.2,28.9,.125,127.0,https://www.basketball-reference.com/boxscores/202503230POR.html
2025-03-23,2025-03-23,Portland Trail Blazers,True,Boston Celtics,116,129,91.3,.597,11.2,28.9,.125,127.0,0,1,.676,8.7,28.9,.114,141.2,https://www.basketball-reference.com/boxscores/202503230POR.html
2025-03-23,2025-03-23,San Antonio Spurs,False,Toronto Raptors,123,89,98.8,.558,12.3,30.2,.314,124.5,1,0,.435,18.4,32.7,.098,90.1,https://www.basketball-reference.com/boxscores/202503230TOR.html
2025-03-23,2025-03-23,Toronto Raptors,True,San Antonio Spurs,89,123,98.8,.435,18.4,32.7,.098,90.1,0,1,.558,12.3,30.2,.314,124.5,https://www.basketball-reference.com/boxscores/202503230TOR.html
2025-03-23,2025-03-23,Denver Nuggets,False,Houston Rockets,116,111,92.9,.563,8.4,25.6,.207,124.9,1,0,.500,5.5,32.7,.247,119.5,https://www.basketball-reference.com/boxscores/202503230HOU.html
2025-03-23,2025-03-23,Houston Rockets,True,Denver Nuggets,111,116,92.9,.500,5.5,32.7,.247,119.5,0,1,.563,8.4,25.6,.207,124.9,https://www.basketball-reference.com/boxscores/202503230HOU.html
2025-03-23,2025-03-23,Oklahoma City Thunder,False,Los Angeles Clippers,103,101,95.4,.467,8.2,21.3,.185,108.0,1,0,.476,12.9,25.6,.280,105.9,https://www.basketball-reference.com/boxscores/202503230LAC.html
2025-03-23,2025-03-23,Los Angeles Clippers,True,Oklahoma City Thunder,101,103,95.4,.476,12.9,25.6,.280,105.9,0,1,.467,8.2,21.3,.185,108.0,https://www.basketball-reference.com/boxscores/202503230LAC.html
2025-03-24,2025-03-24,Minnesota Timberwolves,False,Indiana Pacers,103,119,101.7,.533,15.1,19.6,.066,101.2,0,0,.559,10.7,20.0,.149,117.0,https://www.basketball-reference.com/boxscores/202503240IND.html
