date,visitor_team,visitor_score,home_team,home_score,visitor_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_pace,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2017-03-30,HOU,107,POR,117,99.3,0.484,15.1,30.2,0.209,107.7,99.3,0.55,10.7,27.5,0.2,117.8,1
2019-02-10,POR,101,DAL,102,97.5,0.541,17.1,30.0,0.093,103.6,97.5,0.483,13.4,23.4,0.207,104.7,1
2017-12-27,BOS,102,CHO,91,90.5,0.571,15.2,15.4,0.167,112.7,90.5,0.408,9.9,33.9,0.23,100.5,0
2017-03-29,MIA,105,NYK,88,91.3,0.548,9.9,18.6,0.155,115.0,91.3,0.399,12.5,34.7,0.191,96.4,0
2016-01-29,CLE,114,DET,106,92.0,0.524,6.8,25.0,0.325,123.9,92.0,0.518,8.6,19.6,0.226,115.2,0
2016-04-20,POR,81,LAC,102,91.8,0.368,9.3,27.3,0.154,88.2,91.8,0.506,8.4,24.5,0.161,111.1,1
2019-02-03,LAC,103,TOR,121,103.2,0.438,11.3,14.9,0.281,99.8,103.2,0.505,11.5,35.6,0.277,117.2,1
2016-03-21,ORL,96,BOS,107,96.8,0.446,9.8,27.5,0.14,99.2,96.8,0.512,12.8,22.5,0.235,110.6,1
2017-03-05,ORL,114,WAS,115,93.5,0.573,12.6,31.7,0.135,121.9,93.5,0.568,11.5,25.0,0.284,122.9,1
2020-03-06,MIA,104,NOP,110,102.3,0.483,13.1,20.8,0.244,101.6,102.3,0.495,14.1,30.0,0.22,107.5,1
2017-03-09,LAC,114,MEM,98,94.7,0.583,13.4,20.0,0.295,120.3,94.7,0.488,8.9,13.0,0.205,103.5,0
2017-03-08,WAS,123,DEN,113,98.9,0.631,10.2,21.6,0.136,124.3,98.9,0.603,14.5,22.2,0.092,114.2,0
2022-01-23,DET,111,DEN,117,97.9,0.633,20.9,13.3,0.213,113.3,97.9,0.588,10.4,21.1,0.2,119.5,1
2017-11-01,MIL,121,CHO,126,99.8,0.599,12.5,20.9,0.132,121.2,99.8,0.619,10.2,18.4,0.262,126.2,1
2019-02-25,PHO,124,MIA,121,103.6,0.579,12.3,18.9,0.236,119.7,103.6,0.541,11.7,30.4,0.165,116.8,0
2018-04-03,POR,109,DAL,115,100.7,0.506,11.8,12.5,0.241,108.2,100.7,0.549,6.5,16.3,0.152,114.2,1
2019-12-01,MEM,115,MIN,107,104.5,0.49,9.1,21.8,0.17,110.0,104.5,0.453,13.7,20.8,0.353,102.4,0
2017-12-08,BOS,102,SAS,105,89.9,0.524,13.4,25.6,0.181,113.5,89.9,0.519,12.4,33.3,0.259,116.8,1
2022-02-25,MIA,115,NYK,100,101.4,0.536,7.5,9.1,0.313,113.4,101.4,0.493,16.5,11.1,0.347,98.6,0
2019-01-10,OKC,147,SAS,154,100.3,0.575,9.5,26.9,0.14,121.3,100.3,0.646,13.2,12.5,0.263,127.1,1
2015-11-11,LAL,99,ORL,101,89.5,0.538,13.0,18.4,0.177,110.6,89.5,0.465,7.1,39.0,0.08,112.8,1
2021-05-26,ATL,92,NYK,101,97.5,0.44,12.2,12.8,0.214,94.4,97.5,0.447,8.8,27.1,0.181,103.6,1
2016-04-13,PHI,105,CHI,115,94.9,0.562,12.8,9.8,0.173,110.6,94.9,0.56,15.2,37.2,0.265,121.1,1
2022-05-10,PHI,85,MIA,120,94.2,0.418,14.1,20.8,0.165,90.3,94.2,0.613,10.5,23.5,0.202,127.4,1
2019-05-09,DEN,108,POR,119,90.7,0.453,5.7,33.3,0.349,119.1,90.7,0.545,8.1,28.2,0.247,131.2,1
2018-12-19,GSW,103,UTA,108,103.9,0.453,10.4,19.2,0.179,99.1,103.9,0.484,13.5,20.8,0.194,104.0,1
2021-01-27,BOS,106,SAS,110,97.8,0.48,8.8,26.0,0.122,108.4,97.8,0.61,17.6,25.7,0.122,112.5,1
2016-10-28,GSW,122,NOP,114,107.7,0.533,11.9,19.6,0.275,113.2,107.7,0.495,10.6,23.1,0.15,105.8,0
2018-12-04,POR,102,DAL,111,99.5,0.494,16.1,23.9,0.226,102.5,99.5,0.494,11.2,28.8,0.273,111.6,1
