Date,Game_Date_ISO,Time,Arena,Attendance,Game_Duration,Overtime,Away_Team_Name,Away_Score,Away_Team_Won,Away_Won_Binary,Away_eFG_PCT,Away_TOV_PCT,Away_ORB_PCT,Away_FT_Rate,Away_ORtg,Away_Opp_eFG_PCT,Away_Opp_TOV_PCT,Away_Opp_ORB_PCT,Away_Opp_FT_Rate,Away_Opp_ORtg,Home_Team_Name,Home_Score,Home_Team_Won,Home_Won_Binary,Home_eFG_PCT,Home_TOV_PCT,Home_ORB_PCT,Home_FT_Rate,Home_ORtg,Home_Opp_eFG_PCT,Home_Opp_TOV_PCT,Home_Opp_ORB_PCT,Home_Opp_FT_Rate,Home_Opp_ORtg,Game_Pace,Home_Point_Diff,eFG_PCT_Diff,TOV_PCT_Diff,ORB_PCT_Diff,FT_Rate_Diff,Box_Score_URL,Notes,Game_Date
2025-03-21,2025-03-21,8:30p,American Airlines Center,"20,071",2:27,,Detroit Pistons,117,0,0,0.526,11.6,30.6,0.143,113.8,0.6,17.3,27.8,0.338,119.6,Dallas Mavericks,123,1,1,0.6,17.3,27.8,0.338,119.6,0.526,11.6,30.6,0.143,113.8,102.8,6,0.07399999999999995,-5.700000000000001,-2.8000000000000007,0.19500000000000003,https://www.basketball-reference.com/boxscores/202503210DAL.html,,2025-03-21
2025-03-21,2025-03-21,9:30p,Delta Center,"18,175",2:00,,Boston Celtics,121,1,1,0.552,9.6,35.6,0.144,127.6,0.536,16.0,22.0,0.107,104.4,Utah Jazz,99,0,0,0.536,16.0,22.0,0.107,104.4,0.552,9.6,35.6,0.144,127.6,94.8,-22,-0.016000000000000014,-6.4,-13.600000000000001,-0.03699999999999999,https://www.basketball-reference.com/boxscores/202503210UTA.html,,2025-03-21
2025-03-21,2025-03-21,10:00p,Footprint Center,"17,071",1:57,,Cleveland Cavaliers,112,0,0,0.537,9.9,32.0,0.117,118.6,0.625,13.6,30.0,0.087,130.2,Phoenix Suns,123,1,1,0.625,13.6,30.0,0.087,130.2,0.537,9.9,32.0,0.117,118.6,94.4,11,0.08799999999999997,-3.6999999999999993,-2.0,-0.030000000000000013,https://www.basketball-reference.com/boxscores/202503210PHO.html,,2025-03-21
2025-03-21,2025-03-21,10:00p,Moda Center,"17,410",2:16,,Denver Nuggets,109,0,0,0.559,19.2,32.4,0.316,114.3,0.621,14.8,42.9,0.23,134.2,Portland Trail Blazers,128,1,1,0.621,14.8,42.9,0.23,134.2,0.559,19.2,32.4,0.316,114.3,95.4,19,0.061999999999999944,4.399999999999999,10.5,-0.086,https://www.basketball-reference.com/boxscores/202503210POR.html,,2025-03-21
2025-03-21,2025-03-21,10:30p,Intuit Dome,"17,927",2:09,,Memphis Grizzlies,108,0,0,0.521,9.0,19.6,0.095,108.1,0.686,14.4,6.3,0.269,128.1,Los Angeles Clippers,128,1,1,0.686,14.4,6.3,0.269,128.1,0.521,9.0,19.6,0.095,108.1,99.9,20,0.16500000000000004,-5.4,-13.3,0.17400000000000002,https://www.basketball-reference.com/boxscores/202503210LAC.html,,2025-03-21
2025-03-22,2025-03-22,7:00p,State Farm Arena,"17,864",2:10,,Golden State Warriors,115,0,0,0.56,9.5,14.3,0.25,116.6,0.657,14.6,23.8,0.128,125.7,Atlanta Hawks,124,1,1,0.657,14.6,23.8,0.128,125.7,0.56,9.5,14.3,0.25,116.6,98.6,9,0.09699999999999998,-5.1,9.5,-0.122,https://www.basketball-reference.com/boxscores/202503220ATL.html,,2025-03-22
2025-03-22,2025-03-22,8:00p,Madison Square Garden (IV),"19,812",2:15,,Washington Wizards,103,0,0,0.506,17.2,22.2,0.159,99.9,0.555,13.5,31.1,0.231,118.4,New York Knicks,122,1,1,0.555,13.5,31.1,0.231,118.4,0.506,17.2,22.2,0.159,99.9,103.1,19,0.049000000000000044,3.6999999999999993,8.900000000000002,0.07200000000000001,https://www.basketball-reference.com/boxscores/202503220NYK.html,,2025-03-22
2025-03-22,2025-03-22,10:00p,Golden 1 Center,"16,911",2:10,,Milwaukee Bucks,114,1,1,0.601,9.7,26.8,0.155,125.5,0.5,7.4,31.1,0.187,118.9,Sacramento Kings,108,0,0,0.5,7.4,31.1,0.187,118.9,0.601,9.7,26.8,0.155,125.5,90.8,-6,-0.10099999999999998,2.299999999999999,4.300000000000001,0.032,https://www.basketball-reference.com/boxscores/202503220SAC.html,,2025-03-22
2025-03-22,2025-03-22,10:30p,Crypto.com Arena,"18,997",2:10,,Chicago Bulls,146,1,1,0.682,8.7,27.8,0.156,141.4,0.582,18.2,22.0,0.188,111.3,Los Angeles Lakers,115,0,0,0.582,18.2,22.0,0.188,111.3,0.682,8.7,27.8,0.156,141.4,103.3,-31,-0.10000000000000009,-9.5,-5.800000000000001,0.032,https://www.basketball-reference.com/boxscores/202503220LAL.html,,2025-03-22
2025-03-23,2025-03-23,3:00p,Little Caesars Arena,"20,062",2:27,,New Orleans Pelicans,130,0,0,0.694,16.4,32.3,0.141,133.4,0.622,7.2,28.9,0.337,139.6,Detroit Pistons,136,1,1,0.622,7.2,28.9,0.337,139.6,0.694,16.4,32.3,0.141,133.4,97.4,6,-0.07199999999999995,9.2,-3.3999999999999986,0.19600000000000004,https://www.basketball-reference.com/boxscores/202503230DET.html,,2025-03-23
