date,visitor_team,visitor_score,home_team,home_score,visitor_pace,home_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2025-03-07,UTA,109,TOR,118,102.0,102.0,0.512,19.8,42.2,0.274,106.9,0.452,7.9,37.3,0.231,115.7,1
2025-03-07,MEM,122,DAL,111,104.0,104.0,0.509,8.9,33.3,0.132,117.4,0.464,10.1,20.8,0.229,106.8,0
2025-03-07,CLE,118,CHO,117,100.8,100.8,0.493,12.5,21.4,0.566,117.1,0.549,10.6,21.7,0.174,116.1,0
2025-03-07,MIN,106,MIA,104,93.6,93.6,0.605,13.8,17.1,0.099,113.3,0.539,8.8,16.3,0.09,111.1,0
2025-03-08,IND,118,ATL,120,102.6,102.6,0.489,13.0,31.9,0.277,115.1,0.515,13.8,38.1,0.206,117.0,1
2025-03-08,DET,110,GSW,115,105.9,105.9,0.488,16.6,27.1,0.318,103.9,0.488,15.7,26.2,0.393,108.6,1
2025-03-08,LAL,101,BOS,111,94.2,94.2,0.529,13.1,22.0,0.103,107.3,0.554,9.5,23.4,0.214,117.9,1
2025-03-08,ORL,111,MIL,109,93.5,93.5,0.585,10.0,12.8,0.183,118.8,0.62,13.2,12.1,0.213,116.6,0
2025-03-08,BKN,102,CHO,105,89.1,89.1,0.549,12.8,22.2,0.146,114.5,0.464,8.7,43.1,0.143,117.9,1
2025-03-08,NOP,117,HOU,146,100.7,100.7,0.545,11.7,35.3,0.091,116.2,0.641,9.2,36.6,0.192,145.0,1
2025-03-08,CHI,114,MIA,109,104.0,104.0,0.517,9.1,11.9,0.261,109.6,0.49,7.9,13.2,0.144,104.8,0
2025-03-08,WAS,118,TOR,117,97.2,97.2,0.505,12.7,44.9,0.17,121.4,0.474,12.2,44.0,0.284,120.4,0
2025-03-09,SAS,124,MIN,141,96.5,96.5,0.618,11.2,28.2,0.224,128.5,0.668,11.3,35.9,0.147,146.1,1
2025-03-09,CLE,112,MIL,100,97.2,97.2,0.551,13.5,27.1,0.17,115.2,0.478,15.4,32.6,0.143,102.9,0
2025-03-09,UTA,122,PHI,126,109.1,109.1,0.516,14.4,21.7,0.28,111.8,0.531,14.4,29.2,0.25,115.4,1
2025-03-09,MEM,107,NOP,104,95.4,95.4,0.48,11.5,44.2,0.121,112.2,0.488,12.6,22.7,0.247,109.0,0
2025-03-09,PHX,125,DAL,116,96.7,96.7,0.643,12.4,18.2,0.202,129.2,0.585,6.9,11.1,0.148,119.9,0
2025-03-09,DEN,103,OKC,127,98.0,98.0,0.474,7.0,23.3,0.113,105.1,0.559,4.5,22.7,0.234,129.5,1
2025-03-09,SAC,110,LAC,111,87.8,87.8,0.511,7.5,18.6,0.241,113.5,0.593,9.8,7.0,0.185,114.5,1
2025-03-09,DET,119,POR,112,103.9,103.9,0.546,12.2,27.9,0.276,114.6,0.468,10.8,19.2,0.269,107.8,0
2025-03-10,WAS,104,TOR,119,99.9,99.9,0.438,6.7,26.2,0.114,104.1,0.468,6.9,42.4,0.156,119.1,1
2025-03-10,IND,103,CHI,121,108.9,108.9,0.446,8.4,14.8,0.129,94.6,0.561,14.7,24.4,0.112,111.1,1
2025-03-10,ORL,84,HOU,97,91.4,91.4,0.372,8.5,23.2,0.233,91.9,0.483,17.1,40.8,0.124,106.1,1
2025-03-10,CHO,105,MIA,102,94.5,94.5,0.483,9.4,20.5,0.256,111.1,0.518,14.6,28.9,0.165,107.9,0
2025-03-10,PHX,118,MEM,120,97.7,97.7,0.567,13.8,34.9,0.178,120.8,0.564,13.3,26.2,0.267,122.8,1
2025-03-10,DEN,140,OKC,127,98.9,98.9,0.709,11.2,27.3,0.209,141.6,0.565,9.3,27.7,0.14,128.4,0
2025-03-10,DAL,133,SAS,129,98.8,98.8,0.602,9.8,27.8,0.307,134.6,0.612,7.9,28.6,0.149,130.5,0
2025-03-10,POR,120,GSW,130,98.9,98.9,0.582,16.2,34.9,0.154,121.3,0.653,16.0,30.0,0.224,131.4,1
2025-03-10,UTA,108,BOS,114,95.2,95.2,0.521,10.7,28.6,0.095,113.5,0.527,8.2,26.1,0.172,119.8,1
2025-03-10,NYK,133,SAC,104,100.3,100.3,0.667,14.4,20.7,0.25,132.6,0.477,15.6,29.2,0.256,103.7,0
2025-03-10,LAL,108,BKN,111,94.1,94.1,0.547,13.8,20.5,0.176,114.7,0.511,6.4,31.4,0.211,117.9,1
2025-03-10,PHI,123,ATL,132,102.0,102.0,0.593,9.9,15.0,0.165,120.5,0.617,12.6,35.9,0.112,129.4,1
2025-03-11,LAC,120,NOP,127,97.7,97.7,0.576,9.9,24.4,0.152,122.8,0.653,17.0,34.3,0.188,130.0,1
2025-03-11,BKN,104,CLE,109,97.3,97.3,0.56,14.3,18.2,0.119,106.9,0.494,13.0,28.6,0.236,112.0,1
2025-03-11,WAS,103,DET,123,100.9,100.9,0.473,11.4,21.8,0.174,102.1,0.538,9.8,34.0,0.106,121.9,1
2025-03-11,MIL,114,IND,115,99.4,99.4,0.595,14.0,15.4,0.167,114.7,0.58,9.5,11.6,0.161,115.8,1
2025-03-12,CHO,110,ATL,123,103.4,103.4,0.534,18.0,25.0,0.182,106.4,0.5,11.7,26.0,0.398,119.0,1
2025-03-12,OKC,118,BOS,112,94.4,94.4,0.567,11.0,29.7,0.305,125.1,0.543,11.6,31.3,0.106,118.7,0
2025-03-12,PHX,104,HOU,111,93.1,93.1,0.603,17.2,15.6,0.219,111.7,0.523,8.3,25.6,0.216,119.2,1
2025-03-12,UTA,115,MEM,122,106.4,106.4,0.533,18.4,33.3,0.211,108.1,0.564,8.0,10.4,0.17,114.7,1
2025-03-12,LAC,119,MIA,104,91.3,91.3,0.678,17.2,35.5,0.211,130.4,0.56,10.9,20.9,0.119,113.9,0
2025-03-12,MIN,115,DEN,95,95.3,95.3,0.572,13.4,28.6,0.133,120.6,0.444,9.2,25.0,0.18,99.7,0
2025-03-12,NYK,114,POR,113,92.6,92.6,0.532,12.7,26.2,0.149,111.4,0.539,19.8,43.8,0.178,110.5,0
2025-03-12,DAL,116,SAS,126,102.1,102.1,0.636,16.9,8.1,0.16,113.6,0.59,13.7,31.7,0.16,123.4,1
2025-03-12,PHI,105,TOR,118,105.0,105.0,0.464,7.8,19.2,0.167,100.0,0.52,16.9,36.2,0.14,112.4,1
2025-03-13,BKN,110,CHI,116,94.5,94.5,0.505,8.0,30.6,0.135,116.4,0.517,7.3,27.1,0.256,122.7,1
2025-03-13,SAC,104,GSW,130,96.6,96.6,0.557,14.5,12.2,0.203,107.7,0.718,15.3,21.9,0.231,134.6,1
2025-03-13,WAS,129,DET,125,104.7,104.7,0.589,13.6,23.8,0.256,123.2,0.518,10.4,19.6,0.435,119.4,0
2025-03-13,LAL,106,MIL,126,102.6,102.6,0.523,12.9,10.9,0.172,103.3,0.576,10.7,17.5,0.314,122.8,1
2025-03-13,ORL,113,NOP,93,90.0,90.0,0.596,10.8,21.6,0.169,125.5,0.487,12.8,26.2,0.203,103.3,0
2025-03-14,LAL,126,DEN,131,99.3,99.3,0.538,7.4,38.8,0.124,126.8,0.594,10.6,24.3,0.353,131.9,1
2025-03-14,CHO,145,SAS,134,99.9,99.9,0.753,17.6,29.6,0.2,145.2,0.616,11.8,39.5,0.179,134.2,0
2025-03-14,ORL,111,MIN,118,100.6,100.6,0.517,10.0,13.3,0.213,110.4,0.613,14.8,19.4,0.25,117.3,1
2025-03-14,CLE,133,MEM,124,108.1,108.1,0.608,13.5,18.6,0.295,123.0,0.552,11.6,22.2,0.175,114.7,0
2025-03-14,IND,112,PHI,100,94.4,94.4,0.551,10.2,27.3,0.157,118.6,0.518,14.9,25.0,0.183,105.9,0
2025-03-14,BOS,103,MIA,91,91.9,91.9,0.548,14.5,22.5,0.145,112.1,0.54,17.9,17.9,0.133,99.0,0
2025-03-14,DAL,96,HOU,133,100.3,100.3,0.457,7.5,10.7,0.106,95.7,0.586,9.1,37.8,0.095,132.5,1
2025-03-14,LAC,121,ATL,98,98.8,98.8,0.616,12.9,18.4,0.174,122.4,0.472,15.9,28.3,0.17,99.1,0
2025-03-14,TOR,126,UTA,118,109.3,109.3,0.549,12.4,25.6,0.286,115.2,0.528,14.2,12.8,0.27,107.9,0
2025-03-14,SAC,106,PHX,122,93.5,93.5,0.543,17.5,30.8,0.222,113.4,0.671,13.8,20.0,0.203,130.5,1
2025-03-15,OKC,113,DET,107,103.6,103.6,0.539,15.4,23.3,0.191,109.1,0.557,15.4,15.0,0.102,103.3,0
2025-03-15,BOS,115,BKN,113,84.2,84.2,0.601,8.0,32.5,0.167,136.6,0.578,8.6,41.9,0.1,134.2,0
2025-03-15,CHI,114,HOU,117,103.5,103.5,0.538,9.9,11.6,0.151,110.2,0.52,11.3,34.0,0.153,113.1,1
2025-03-15,MIA,91,MEM,125,95.9,95.9,0.449,12.9,20.0,0.136,94.9,0.62,10.2,28.9,0.12,130.4,1
2025-03-15,NYK,94,GSW,97,90.6,90.6,0.483,12.4,27.1,0.128,103.8,0.476,10.6,21.7,0.217,107.1,1
2025-03-15,IND,119,MIL,126,99.6,99.6,0.568,10.6,20.8,0.104,119.5,0.639,15.8,24.1,0.316,126.5,1
2025-03-15,NOP,115,SAS,119,99.6,99.6,0.565,15.7,29.3,0.12,115.5,0.56,9.2,16.7,0.298,119.5,1
2025-03-15,WAS,126,DEN,123,105.6,105.6,0.584,14.2,28.9,0.158,119.3,0.568,14.9,24.4,0.158,116.5,0
2025-03-16,PHI,130,DAL,125,103.0,103.0,0.598,9.7,20.5,0.217,126.2,0.586,13.0,25.0,0.264,121.4,0
2025-03-16,CHO,88,LAC,123,95.7,95.7,0.426,10.1,21.2,0.085,91.9,0.554,9.6,34.0,0.215,128.5,1
2025-03-16,UTA,102,MIN,128,103.0,103.0,0.5,18.5,23.3,0.133,99.1,0.567,8.4,32.0,0.186,124.3,1
2025-03-16,ORL,108,CLE,103,98.4,98.4,0.5,15.8,28.9,0.333,109.7,0.469,11.8,32.0,0.135,104.6,0
2025-03-16,OKC,121,MIL,105,96.8,96.8,0.573,9.1,24.2,0.213,125.0,0.476,8.4,17.6,0.313,108.5,0
2025-03-16,TOR,102,POR,105,96.2,96.2,0.457,14.9,37.3,0.17,106.0,0.511,18.7,40.4,0.17,109.2,1
2025-03-16,ATL,114,BKN,122,100.6,100.6,0.528,12.2,26.3,0.211,113.3,0.572,14.5,30.0,0.211,121.3,1
2025-03-16,PHX,96,LAL,107,95.1,95.1,0.444,12.5,29.8,0.191,101.0,0.519,9.5,15.9,0.284,112.5,1
2025-03-17,SAS,109,LAL,125,99.8,99.8,0.551,15.3,20.9,0.136,109.3,0.594,8.2,18.6,0.2,125.3,1
2025-03-17,MEM,122,SAC,132,101.4,101.4,0.561,15.4,34.9,0.233,120.3,0.636,12.2,23.3,0.227,130.2,1
2025-03-17,WAS,97,POR,112,99.2,99.2,0.478,14.1,23.4,0.098,97.8,0.5,7.7,26.9,0.131,112.9,1
2025-03-17,DEN,114,GSW,105,101.5,101.5,0.543,18.0,41.3,0.152,112.3,0.536,17.3,24.4,0.179,103.4,0
2025-03-17,CHI,111,UTA,97,105.6,105.6,0.505,9.6,17.0,0.134,105.1,0.459,15.1,9.1,0.209,91.8,0
2025-03-17,TOR,89,PHX,129,94.2,94.2,0.414,11.0,22.2,0.195,94.5,0.62,9.2,30.0,0.163,136.9,1
2025-03-17,IND,132,MIN,130,102.2,102.2,0.582,15.7,28.6,0.196,116.9,0.521,11.7,20.9,0.299,115.2,0
2025-03-17,PHI,137,HOU,144,97.7,97.7,0.632,13.1,18.6,0.179,127.0,0.579,11.3,46.0,0.187,133.5,1
2025-03-17,MIA,95,NYK,116,96.2,96.2,0.512,19.4,24.3,0.134,98.7,0.579,12.5,30.2,0.063,120.5,1
2025-03-17,DET,127,NOP,81,98.5,98.5,0.625,12.6,29.7,0.262,128.9,0.355,14.6,25.0,0.233,82.2,0
2025-03-18,ATL,134,CHO,102,97.9,97.9,0.656,9.9,27.5,0.129,136.9,0.512,15.4,22.2,0.19,104.2,0
2025-03-18,BKN,96,BOS,104,94.0,94.0,0.483,8.6,16.0,0.125,102.1,0.544,12.8,16.2,0.228,110.6,1
2025-03-18,MIL,93,GSW,104,95.4,95.4,0.468,9.9,8.5,0.241,97.5,0.526,17.7,23.1,0.299,109.1,1
2025-03-18,CLE,119,LAC,132,94.7,94.7,0.567,8.1,22.2,0.189,125.7,0.643,11.9,42.4,0.286,139.4,1
2025-03-19,DEN,108,LAL,120,100.0,100.0,0.546,16.5,28.6,0.149,108.0,0.602,12.8,19.5,0.241,120.0,1
2025-03-19,CLE,119,SAC,123,94.3,94.3,0.625,11.5,22.9,0.167,126.2,0.593,11.7,32.6,0.165,130.4,1
2025-03-19,MEM,99,POR,115,97.7,97.7,0.446,9.0,18.9,0.185,101.4,0.51,13.9,42.3,0.177,117.7,1
2025-03-19,CHI,121,PHX,127,99.5,99.5,0.628,12.0,19.5,0.089,121.6,0.568,9.5,28.9,0.188,127.6,1
2025-03-19,WAS,112,UTA,128,100.4,100.4,0.527,12.2,28.3,0.151,111.5,0.657,14.9,27.3,0.124,127.4,1
2025-03-19,DET,116,MIA,113,96.7,96.7,0.555,11.6,33.3,0.165,120.0,0.544,11.7,24.4,0.167,116.9,0
2025-03-19,NOP,119,MIN,115,98.6,98.6,0.601,13.2,26.2,0.135,120.7,0.558,13.1,20.5,0.377,116.6,0
2025-03-19,DAL,131,IND,135,104.0,104.0,0.608,11.3,17.9,0.273,126.0,0.646,10.1,15.0,0.354,129.8,1
2025-03-19,HOU,116,ORL,108,95.9,95.9,0.537,14.4,30.8,0.358,121.0,0.495,10.6,29.2,0.185,112.7,0
2025-03-19,NYK,105,SAS,120,94.7,94.7,0.484,9.8,31.5,0.174,110.9,0.589,13.2,35.7,0.156,126.7,1
2025-03-19,PHI,100,OKC,133,99.5,99.5,0.463,10.5,21.4,0.126,100.5,0.656,12.4,27.5,0.167,133.7,1
2025-03-20,MIL,118,LAL,89,95.4,95.4,0.542,8.3,21.7,0.321,123.7,0.482,19.8,31.1,0.122,93.3,0
2025-03-20,CHI,128,SAC,116,96.2,96.2,0.61,12.6,30.8,0.267,133.1,0.564,11.1,24.3,0.221,120.6,0
2025-03-20,BKN,99,IND,105,97.4,97.4,0.426,12.8,23.0,0.129,92.0,0.481,20.9,23.3,0.333,97.6,1
2025-03-20,TOR,114,GSW,117,102.3,102.3,0.635,21.0,20.6,0.192,111.5,0.528,12.8,22.9,0.244,114.4,1
2025-03-20,NYK,98,CHO,115,94.1,94.1,0.456,6.6,18.0,0.178,104.2,0.574,11.2,27.5,0.159,122.2,1
2025-03-21,HOU,102,MIA,98,93.7,93.7,0.548,15.4,34.1,0.119,108.9,0.589,21.0,13.9,0.164,104.6,0
2025-03-21,DEN,109,POR,128,95.4,95.4,0.559,19.2,32.4,0.316,114.3,0.621,14.8,42.9,0.23,134.2,1
2025-03-21,ORL,120,WAS,105,100.1,100.1,0.568,11.3,28.3,0.115,119.9,0.523,13.6,16.0,0.161,104.9,0
2025-03-21,NOP,93,MIN,134,96.9,96.9,0.581,25.1,21.2,0.206,95.9,0.646,12.5,27.8,0.213,138.2,1
2025-03-21,CHO,106,OKC,141,95.5,95.5,0.581,15.7,15.4,0.163,111.0,0.686,8.1,30.3,0.128,147.7,1
2025-03-21,PHI,120,SAS,128,101.4,101.4,0.654,18.2,16.7,0.173,118.4,0.635,13.4,25.0,0.169,126.3,1
2025-03-21,DET,117,DAL,123,102.8,102.8,0.526,11.6,30.6,0.143,113.8,0.6,17.3,27.8,0.338,119.6,1
2025-03-21,BOS,121,UTA,99,94.8,94.8,0.552,9.6,35.6,0.144,127.6,0.536,16.0,22.0,0.107,104.4,0
2025-03-21,CLE,112,PHX,123,94.4,94.4,0.537,9.9,32.0,0.117,118.6,0.625,13.6,30.0,0.087,130.2,1
2025-03-21,MEM,108,LAC,128,99.9,99.9,0.521,9.0,19.6,0.095,108.1,0.686,14.4,6.3,0.269,128.1,1
